size NBE.closure.list NBE.named.list NBE.named.tree NBE.named.ADT 
120 0.000683 0.001368 0.000758 0.000868
140 0.001494 0.001559 0.001517 0.001409
160 0.003361 0.004580 0.004608 0.003323
180 0.003974 0.004170 0.005048 0.004153
200 0.003513 0.004777 0.003293 0.004159
220 0.005464 0.007962 0.006638 0.006543
240 0.008451 0.009221 0.008761 0.008733
260 0.007903 0.009187 0.009277 0.007260
280 0.009792 0.011870 0.011786 0.010520
300 0.009246 0.011110 0.010380 0.009140
320 0.010615 0.011820 0.011430 0.011732
