size NBE.closure.list NBE.HC.idx NBE.HC.idx.o NBE.HC.lvlidx NBE.HC.lvlidx.o NBE.HC.hashcons 
120 0.000684 0.000742 0.000590 0.000921 0.000878 0.004610
140 0.000924 0.001312 0.001499 0.000821 0.001326 0.004332
160 0.005037 0.001499 0.001681 0.001617 0.001397 0.005684
180 0.004389 0.004595 0.004919 0.004699 0.004198 0.010179
200 0.003628 0.003204 0.006060 0.004945 0.003965 0.013199
220 0.005691 0.004780 0.004310 0.003547 0.004392 0.014960
240 0.007835 0.005610 0.008812 0.006007 0.008433 0.016599
260 0.007389 0.007481 0.007614 0.007650 0.007321 0.029590
280 0.010418 0.009626 0.009713 0.008733 0.008569 0.029707
300 0.008679 0.008776 0.008289 0.008443 0.009066 0.031331
320 0.011873 0.010343 0.008976 0.010453 0.009973 0.050679
