size NBE.closure.list NBE.memo.v1 NBE.memo.v2 NBE.memo.v3 NBE.memo.v4 NBE.memo.named 
120 0.000651 0.004151 0.001154 0.000960 0.000802 0.001234
140 0.001235 0.005381 0.003730 0.001489 0.003962 0.001084
160 0.003268 0.007583 0.003668 0.003771 0.004301 0.006013
180 0.003961 0.006303 0.005345 0.004883 0.005364 0.005798
200 0.003564 0.010441 0.007492 0.005143 0.006413 0.004431
220 0.005896 0.012077 0.012759 0.007269 0.006763 0.005157
240 0.007743 0.012847 0.011893 0.010526 0.010221 0.008120
260 0.007647 0.015185 0.015917 0.011423 0.011507 0.011833
280 0.009780 0.018668 0.015578 0.013316 0.010770 0.011752
300 0.009200 0.019316 0.016810 0.011820 0.012619 0.011460
320 0.011385 0.030577 0.028735 0.014641 0.014643 0.014931
