size NBE.HOAS.list NBE.HOAS.tree NBE.HOAS.skew NBE.closure.list NBE.lazy AM.Crégut.CBV 
120 0.000751 0.001022 0.001171 0.000899 0.002123 0.002055
140 0.000891 0.001264 0.003327 0.001230 0.002999 0.002267
160 0.003878 0.004288 0.003467 0.004175 0.003494 0.003690
180 0.003896 0.004938 0.005486 0.006231 0.005442 0.003984
200 0.003338 0.004771 0.006117 0.004571 0.006335 0.006086
220 0.005599 0.006787 0.006604 0.005576 0.009309 0.006084
240 0.007055 0.008679 0.008112 0.008774 0.009961 0.009601
260 0.008147 0.008898 0.012860 0.014128 0.020861 0.012142
280 0.010924 0.009732 0.012241 0.011790 0.021904 0.015355
300 0.009791 0.011040 0.012326 0.009510 0.016844 0.014379
320 0.011478 0.014578 0.016226 0.012302 0.018475 0.015826
