size compiled.HOAS.byte.C compiled.HOAS.native.C compiled.HOAS.O2.C compiled.evalapply.byte.C compiled.evalapply.native.C compiled.evalapply.O2.C 
120 0.012557 0.136848 0.128393 0.015914 0.125131 0.148599
140 0.012978 0.148823 0.139513 0.021740 0.132596 0.125497
160 0.013214 0.143727 0.142116 0.016714 0.125024 0.126485
180 0.014582 0.154152 0.157771 0.019349 0.132767 0.125487
200 0.019088 0.165561 0.154267 0.022767 0.132166 0.134238
220 0.017501 0.172731 0.172788 0.019297 0.136353 0.131156
240 0.016399 0.170304 0.171973 0.021512 0.139744 0.145610
260 0.016767 0.185853 0.179365 0.023376 0.146503 0.145096
280 0.020467 0.193234 0.195605 0.023052 0.145018 0.146896
300 0.022681 0.195264 0.192440 0.021389 0.151110 0.147846
320 0.022537 0.202402 0.207821 0.021253 0.155917 0.147061
