size NBE.closure.list compiled.HOAS.byte.N compiled.HOAS.native.N compiled.HOAS.O2.N compiled.evalapply.byte.N compiled.evalapply.native.N compiled.evalapply.O2.N 
120 0.000702 0.001825 0.000503 0.000483 0.001485 0.00054 0.000585
140 0.001102 0.002537 0.000938 0.000733 0.00157 0.000805 0.000758
160 0.003385 0.002449 0.000984 0.000958 0.002534 0.000956 0.000941
180 0.004374 0.002761 0.001283 0.001167 0.002684 0.001185 0.001175
200 0.003369 0.005927 0.003478 0.003317 0.015136 0.003482 0.003461
220 0.005162 0.006028 0.003905 0.004049 0.006448 0.00399 0.004078
240 0.006887 0.011469 0.004381 0.005031 0.010322 0.00473 0.004724
260 0.010696 0.023276 0.006999 0.006689 0.010979 0.007163 0.006728
280 0.010776 0.012795 0.007524 0.007447 0.012641 0.007845 0.007935
300 0.008796 0.012716 0.007748 0.00772 0.011494 0.007666 0.007826
320 0.012007 0.020563 0.009277 0.009538 0.01398 0.009492 0.009428
